,전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),경로코드
0,0244,용답,Yongdap,02호선,211-1,龍踏,龍踏,251
1,0245,신답,Sindap,02호선,211-2,新踏,新踏,252
2,0250,용두,Yongdu,02호선,211-3,龍頭,龍頭,254
3,0336,학여울,Hangnyeoul,03호선,346,Hangnyeoul,ハンニョウル,346
4,0428,삼각지,Samgakji,04호선,428,三角地,三角地,428
5,0429,신용산,Sinyongsan,04호선,429,新龍山,新龍山,429
11,1456,평촌,Pyeongchon,04호선,441,坪村,坪村,441
12,1703,금천구청,Geumcheon-Gu Office,01호선,P144,衿川區廳,衿川區廳,174
13,0412,창동,Chang-dong,04호선,412,倉洞,倉洞,412
14,0417,길음,Gireum,04호선,417,吉音,吉音,417
19,1407,온양온천,Onyang oncheon,01호선,P176,溫陽溫泉,溫陽溫泉,P176
20,1450,선바위,Seonbawi,04호선,435,立岩,ソンバウィ,435
21,1452,대공원,Seoul Grand Park,04호선,437,大公園,大公園,437
22,1455,인덕원,Indeogwon,04호선,440,仁德院,仁德院,440
23,1458,금정,Geumjeong,04호선,443,衿井,衿井,443
25,0310,구파발,Gupabal,03호선,320,舊把撥,舊擺撥,320
26,0319,종로3가,Jongno 3(sam)-ga,03호선,329,鍾路3街,鐘路3街,329
27,0339,수서,Suseo,03호선,349,水西,水西,349
28,0415,미아,Mia,04호선,415,彌阿,彌阿,415
29,0425,회현,Hoehyeon,04호선,425,會賢,會賢,425
35,1408,신창,Sinchang,01호선,P177,新昌,新昌,P177
38,1702,가산디지털단지,Gasan Digital Complex,01호선,P142,加山數碼團地,加山デジタル團地,172
39,1704,석수,Seoksu,01호선,P145,石水,石水,175
40,1706,안양,Anyang,01호선,P147,安養,安養,177
41,1707,명학,Myeonghak,01호선,P148,鳴鶴,鳴鶴,178
42,1708,금정,Geumjeong,01호선,P149,衿井,衿井,179
43,1709,군포,Gunpo,01호선,P150,軍浦,軍浦,180
44,1711,성균관대,Sungkyunkwan Univ.,01호선,P153,成均館大,成均館大,182
45,1750,광명,Gwangmyeong,01호선,P144-1,光明,光明,1175
46,1761,정왕,Jeongwang,04호선,455,正往,正往,455
47,1802,오류동,Oryu-dong,01호선,144,梧柳洞,梧柳洞,144
50,0248,양천구청,Yangcheon-gu Office,02호선,234-2,陽川區廳,陽川區廳,262
51,0320,을지로3가,Euljiro 3(sam)-ga,03호선,330,乙支路3街,乙支路3街,330
52,0327,신사,Sinsa,03호선,337,新沙,新沙,337
53,1005,대방,Daebang,01호선,137,大方,大方,137
56,1720,진위,Jinwi,01호선,P161,振威,振威,190
60,1901,방학,Banghak,01호선,115,放鶴,放鶴,116
62,0216,잠실,Jamsil,02호선,216,蠶室,蠶室,216
63,0249,신정네거리,Sinjeongnegeori,02호선,234-3,新亭十字路口,新亭ネゴリ,263
64,0311,연신내,Yeonsinnae,03호선,321,延臣川,ヨンシンネ,321
65,0315,무악재,Muakjae,03호선,325,毋岳齋,毋岳チェ,325
66,0323,약수,Yaksu,03호선,333,藥水,ヤクス,333
67,0328,잠원,Jamwon,03호선,338,蠶院,蠶院,338
68,0337,대청,Daecheong,03호선,347,大廳,テチョン,347
69,0421,동대문,Dongdaemun,04호선,421,東大門,東大門,421
75,0233,대림,Daerim,02호선,233,大林,大林,233
76,0237,당산,Dangsan,02호선,237,堂山,堂山,237
77,0405,진접,Jinjeop,04호선,405,榛接,チンジョプ,405
78,0430,이촌,Ichon,04호선,430,二村,二村,430
79,1015,회기,Hoegi,01호선,123,回基,回基,124
80,1032,신길,Singil,01호선,138,新吉,新吉,138
83,1402,쌍용,Ssangyong,01호선,P171,雙龍,雙龍,P171
85,0338,일원,Irwon,03호선,348,逸院,逸院,348
86,0416,미아사거리,Miasageori,04호선,416,彌阿十字路口,ミアサゴリ,416
87,0427,숙대입구,Sookmyung Women`s Univ.,04호선,427,淑大入口,淑大入口,427
91,1804,부천,Bucheon,01호선,148,富川,富川,148
92,0316,독립문,Dongnimmun,03호선,326,獨立門,獨立門,326
93,0329,고속터미널,Express Bus Terminal,03호선,339,高速巴士客運,高速バスタ?ミナル,339
94,0334,도곡,Dogok,03호선,344,道谷,道谷,344
95,0341,경찰병원,National Police Hospital,03호선,351,警察病院,警察病院,351
99,1404,탕정,Tangjeong,01호선,P173,,,P173
100,1812,인천,Incheon,01호선,161,仁川,仁川,161
109,1902,도봉,Dobong,01호선,114,道峰,道峰,115
110,1904,망월사,Mangwolsa,01호선,112,望月寺,望月寺,113
111,0217,잠실새내,Jamsilsaenae,02호선,217,蠶室-驛,蠶室-驛,217
112,0317,경복궁,Gyeongbokgung,03호선,327,景福宮,景福宮,327
113,0324,금호,Geumho,03호선,334,金湖,金湖,334
114,0330,교대,Seoul Nat`l Univ. of Education,03호선,340,敎大,敎大,340
115,0332,양재,Yangjae,03호선,342,良才,良才,342
116,0335,대치,Daechi,03호선,345,大峙,大峙,345
118,1021,녹천,Nokcheon,01호선,117,鹿川,鹿川,118
119,1814,소사,Sosa,01호선,147,素砂,素砂,147
120,1816,간석,Ganseok,01호선,155,間石,間石,155
129,1905,회룡,Hoeryong,01호선,111,回龍,回龍,112
130,0218,종합운동장,Sports Complex,02호선,218,綜合運動場,綜合運動場,218
131,0325,옥수,Oksu,03호선,335,玉水,オクス,335
132,0331,남부터미널,Nambu Bus Terminal,03호선,341,南部巴士客運,南部巴士客運,341
135,1803,역곡,Yeokgok,01호선,146,驛谷,驛谷,146
136,1805,송내,Songnae,01호선,150,松內,松內,150
137,1813,구일,Guil,01호선,142,九一,九一,142
138,1817,도원,Dowon,01호선,159,桃源,桃源,159
139,1821,온수,Onsu,01호선,145,溫水,溫水,145
147,1906,의정부,Uijeongbu,01호선,110,議政府,議政府,111
148,0219,삼성,Samseong,02호선,219,三成,三成,219
149,0318,안국,Anguk,03호선,328,安國,安國,328
153,1725,성환,Seonghwan,01호선,P166,成歡,成歡,1405
154,1726,직산,Jiksan,01호선,P167,稷山,稷山,1406
155,1728,천안,Cheonan,01호선,P169,天安,天安,P169
156,1751,산본,Sanbon,04호선,444,山本,山本,444
157,1752,대야미,Daeyami,04호선,446,大夜味,大夜味,446
158,1753,반월,Banwol,04호선,447,半月,半月,447
159,1754,상록수,Sangnoksu,04호선,448,常綠樹,常綠樹,448
160,1755,한대앞,Hanyang Univ. at Ansan,04호선,449,漢大前,漢大前,449
161,1756,중앙,Jungang,04호선,450,中央,中央,450
162,1757,고잔,Gojan,04호선,451,古棧,古棧,451
163,1763,수리산,Surisan,04호선,445,修理山,修理山,445
166,1909,양주,Yangju,01호선,107,楊州,楊州,107
167,1911,덕정,Deokjeong,01호선,105,德亭,德亭,105
168,0406,오남,Onam,04호선,406,梧南,オナム,406
180,1712,화서,Hwaseo,01호선,P154,華西,華西,183
181,1713,수원,Suwon,01호선,P155,水原,水原,184
182,1714,독산,Doksan,01호선,P143,禿山,禿山,173
183,1715,세류,Seryu,01호선,P156,細柳,細柳,185
184,1718,오산대,Osan College,01호선,P159,烏山大,烏山大,188
185,1721,송탄,Songtan,01호선,P162,松炭,松炭,1401
186,1722,서정리,Seojeong-ri,01호선,P163,西井里,西井里,1402
187,1724,평택,Pyeongtaek,01호선,P165,平澤,平澤,1404
188,1912,지행,Jihaeng,01호선,104,紙杏,紙杏,104
189,0314,홍제,Hongje,03호선,324,弘濟,弘濟,324
190,0321,충무로,Chungmuro,03호선,331,忠武路,忠武路,331
205,1401,봉명,Bongmyeong,01호선,P170,鳳鳴,鳳鳴,P170
206,1823,도화,Dohwa,01호선,157,道禾,道禾,157
207,1913,동두천중앙,Dongducheon jungang,01호선,103,東豆川中央,東豆川中央,103
208,1915,동두천,Dongducheon,01호선,101,東豆川,東豆川,101
209,1948,원흥,Wonheung,03호선,317,元興,ウォンフン,370
210,1950,삼송,Samsong,03호선,318,三松,三松,318
211,0243,충정로,Chungjeongno,02호선,243,忠正路,忠正路,243
212,0309,지축,Jichuk,03호선,319,紙木丑,紙杻,319
213,0322,동대입구,Dongguk Univ.,03호선,332,東大入口,東大入口,332
214,0326,압구정,Apgujeong,03호선,336,狎鷗亭,狎鷗亭,336
215,0333,매봉,Maebong,03호선,343,梅峰,メボン,343
216,0414,수유,Suyu,04호선,414,水逾,水踰,414
217,0426,서울역,Seoul Station,04호선,426,首爾站,ソウル驛,426
218,0432,총신대입구,Chongshin Univ.,04호선,432,總神大入口,總神大入口,432
229,0246,신설동,Sinseol-dong,02호선,211-4,新設洞,新設洞,253
230,0431,동작,Dongjak,04호선,431,銅雀,銅雀,431
231,0433,사당,Sadang,04호선,433,舍堂,舍堂,433
232,0434,남태령,Namtaeryeong,04호선,434,南泰嶺,南泰嶺,434
233,1004,노량진,Noryangjin,01호선,136,鷺梁津,鷺梁津,136
234,1006,영등포,Yeongdeungpo,01호선,139,永登浦,永登浦,139
237,1016,외대앞,Hankuk Univ. of Foreign Studies,01호선,122,外大前,外大前,123
238,1017,신이문,Sinimun,01호선,121,新里門,新里門,122
239,1018,석계,Seokgye,01호선,120,石溪,石溪,121
240,1019,광운대,Kwangwoon Univ.,01호선,119,光云大,光云大,1809
241,1020,월계,Wolgye,01호선,118,月溪,月溪,119
242,1022,창동,Chang-dong,01호선,116,倉洞,倉洞,117
246,0238,합정,Hapjeong,02호선,238,合井,合井,238
247,0239,홍대입구,Hongik Univ.,02호선,239,弘大入口,弘大入口,239
248,0240,신촌,Sinchon,02호선,240,新村,新村,240
249,0241,이대,Ewha Womans Univ.,02호선,241,梨花女子大學,梨大,241
250,0242,아현,Ahyeon,02호선,242,阿峴,阿峴,242
251,0247,도림천,Dorimcheon,02호선,234-1,道林川,道林川,261
252,0312,불광,Bulgwang,03호선,322,佛光,佛光,322
253,0313,녹번,Nokbeon,03호선,323,碌磻,碌磻,323
254,0342,오금,Ogeum,03호선,352,梧琴,梧琴,352
255,0408,별내별가람,Byeollae Byeolgaram,04호선,408,別內星江,ピョルネビョルガラム,408
256,0409,당고개,Danggogae,04호선,409,堂嶺,タンゴゲ,409
257,0410,상계,Sanggye,04호선,410,上溪,上溪,410
258,0418,성신여대입구,Sungshin Women`s Univ.,04호선,418,誠信女大入口,誠信女大入口,418
259,0419,한성대입구,Hansung Univ.,04호선,419,漢城大入口,漢城大入口,419
260,0422,동대문역사문화공원,Dongdaemun History  Culture Park,04호선,422,東大門歷史文化公園,東大門歷史文化公園,422
262,0220,선릉,Seolleung,02호선,220,宣陵,宣陵,220
263,0221,역삼,Yeoksam,02호선,221,驛三,驛三,221
264,0222,강남,Gangnam,02호선,222,江南,江南,222
265,0223,교대,Seoul Nat`l Univ. of Education,02호선,223,敎大,敎大,223
266,0224,서초,Seocho,02호선,224,瑞草,瑞草,224
267,0225,방배,Bangbae,02호선,225,方背,方背,225
268,0226,사당,Sadang,02호선,226,舍堂,舍堂,226
269,0227,낙성대,Nakseongdae,02호선,227,落星垈,落星垈,227
270,0228,서울대입구,Seoul Nat`l Univ.,02호선,228,首爾大入口,ソウル大入口,228
271,0229,봉천,Bongcheon,02호선,229,奉天,奉天,229
272,0230,신림,Sillim,02호선,230,新林,新林,230
273,0231,신대방,Sindaebang,02호선,231,新大方,新大方,231
274,0232,구로디지털단지,Guro Digital Complex,02호선,232,九老數碼團地,九老デジタル？地,232
275,0234,신도림,Sindorim,02호선,234,新道林,新道林,234
276,0235,문래,Mullae,02호선,235,文來,文來,235
277,0236,영등포구청,Yeongdeungpo-gu Office,02호선,236,永登浦區廳,永登浦區廳,236
278,0203,을지로3가,Euljiro 3(sam)-ga,02호선,203,乙支路三街,乙支路3街,203
279,0204,을지로4가,Euljiro 4(sa)-ga,02호선,204,乙支路四街,乙支路4街,204
280,0205,동대문역사문화공원,Dongdaemun History  Culture Park,02호선,205,東大門歷史文化公園,東大門歷史文化公園,205
281,0206,신당,Sindang,02호선,206,新堂,新堂,206
282,0207,상왕십리,Sangwangsimni,02호선,207,上往十里,上往十里,207
283,0208,왕십리,Wangsimni,02호선,208,往十里,往十里,208
284,0209,한양대,Hanyang Univ.,02호선,209,漢陽大,漢陽大,209
285,0210,뚝섬,Ttukseom,02호선,210,纛島,トゥクソム,210
286,0211,성수,Seongsu,02호선,211,聖水,聖水,211
287,0212,건대입구,Konkuk Univ.,02호선,212,建大入口,建大入口,212
288,0213,구의,Guui,02호선,213,九宜,九宜,213
289,0214,강변,Gangbyeon,02호선,214,江邊,江邊,214
290,0215,잠실나루,Jamsillaru,02호선,215,蠶室渡口,蠶室ナル,215
291,0420,혜화,Hyehwa,04호선,420,惠化,惠化,420
292,1007,신도림,Sindorim,01호선,140,新道林,新道林,140
293,1701,구로,Guro,01호선,141,九老,九老,141
294,1951,원당,Wondang,03호선,316,元堂,元堂,317
295,0340,가락시장,Garak Market,03호선,350,可樂市場,可樂市場,350
296,0411,노원,Nowon,04호선,411,蘆原,蘆原,411
297,0423,충무로,Chungmuro,04호선,423,忠武路,忠武路,423
298,1003,용산,Yongsan,01호선,135,龍山,龍山,135
305,1405,배방,Baebang,01호선,P174,排芳,排芳,P174
306,1451,경마공원,Seoul Racecourse Park,04호선,436,競馬公園,競馬公園,436
308,1952,화정,Hwajeong,03호선,315,花井,花井,316
309,1953,대곡,Daegok,03호선,314,大谷,大谷,315
310,1954,백석,Baekseok,03호선,313,白石,白石,314
311,1956,정발산,Jeongbalsan,03호선,311,鼎鉢山,鼎鉢山,312
313,2511,방화,Banghwa,05호선,510,傍花,傍花,510
314,2512,개화산,Gaehwasan,05호선,511,開花山,開花山,511
315,2514,송정,Songjeong,05호선,513,松亭,松亭,513
316,2520,신정,Sinjeong,05호선,519,新亭,新亭,519
317,2521,목동,Mok-dong,05호선,520,木洞,木洞,520
318,2522,오목교,Omokgyo,05호선,521,梧木橋,梧木橋,521
319,2523,양평,Yangpyeong,05호선,522,楊坪,楊坪,522
320,0413,쌍문,Ssangmun,04호선,413,雙門,雙門,413
321,0424,명동,Myeong-dong,04호선,424,明洞,明洞,424
322,1002,남영,Namyeong,01호선,134,南營,南營,134
327,1719,오산,Osan,01호선,P160,烏山,烏山,189
328,1822,중동,Jung-dong,01호선,149,中洞,中洞,149
331,2513,김포공항,Gimpo Intl. Airport,05호선,512,金浦空港,金浦空港,512
332,2517,우장산,Ujangsan,05호선,516,雨裝山,雨裝山,516
333,2524,영등포구청,Yeongdeungpo-gu Office,05호선,523,永登浦區廳,永登浦區廳,523
334,2525,영등포시장,Yeongdeungpo Market,05호선,524,永登浦市場,永登浦市場,524
335,2527,여의도,Yeouido,05호선,526,汝矣島,汝矣島,526
336,2529,마포,Mapo,05호선,528,麻浦,麻浦,528
337,2530,공덕,Gongdeok,05호선,529,孔德,孔德,529
338,2535,종로3가,Jongno 3(sam)-ga,05호선,534,鍾路三街,鐘路3街,534
339,2536,을지로4가,Euljiro 4(sa)-ga,05호선,535,乙支路四街,乙支路4街,535
340,2537,동대문역사문화공원,Dongdaemun History  Culture Park,05호선,536,東大門歷史文化公園,東大門歷史文化公園,536
341,2539,신금호,Singeumho,05호선,538,新金湖,新金湖,538
342,2540,행당,Haengdang,05호선,539,杏堂,杏堂,539
351,1705,관악,Gwanak,01호선,P146,冠岳,冠岳,176
352,1806,부평,Bupyeong,01호선,152,富平,富平,152
353,1808,동암,Dongam,01호선,154,銅岩,銅岩,154
354,1809,주안,Juan,01호선,156,朱安,朱安,156
355,1811,동인천,Dongincheon,01호선,160,東仁川,東仁川,160
356,1815,부개,Bugae,01호선,151,富開,富開,151
358,1910,덕계,Deokgye,01호선,106,德溪,德溪,106
359,2515,마곡,Magok,05호선,514,麻谷,麻谷,514
360,2526,신길,Singil,05호선,525,新吉,新吉,525
361,2541,왕십리,Wangsimni,05호선,540,往十里,往十里,540
362,2542,마장,Majang,05호선,541,馬場,馬場,541
363,2543,답십리,Dapsimni,05호선,542,踏十里,踏十里,542
364,2544,장한평,Janghanpyeong,05호선,543,長漢坪,長漢坪,543
368,1403,아산,Asan,01호선,P172,牙山,牙山,P172
369,1453,과천,Gwacheon,04호선,438,果川,果川,438
370,1457,범계,Beomgye,04호선,442,凡溪,ポムゲ,442
